Node ID,openEHR Name,EHDS Name,openEHR Description,openEHR Comment,EHDS Definition,openEHR Cardinality,openEHR Datatype,openEHR Values,EHDS Cardinality,EHDS Binding,Concept Map,openEHR Path,EHDS Path,MappingNotes
openEHR-EHR-SECTION.adhoc.v1,EHDS Problems,EHDSProblems,A generic section header which should be renamed in a template to suit a specific clinical context.,,Conditions and symptoms affecting the health of the patient.,1..1,Section,,1..1,,,/,EHDSPatientSummary.problems,
openEHR-EHR-EVALUATION.exclusion_global.v1,Exclusion - global,,An overall statement of exclusion about all Problems/diagnoses Family history Medications Procedures Adverse reactions or other clinical items that are either not currently present or have not been present in the past.,,,0..1,Evaluation,,,,,/items[openEHR-EHR-EVALUATION.exclusion_global.v1],,
,Global exclusion of problems/diagnoses,emptyReason,Overall statement of exclusion of all problems or diagnoses at the time of recording.,For example: 'No previous diagnoses' 'No known family history' 'No known history of adverse reactions' 'Never taken any medications' or 'No known operations or significant procedures'.,Use if no conditions are listed,1..1,Text,,0..1,,,/items[openEHR-EHR-EVALUATION.exclusion_global.v1]/data[at0001]/items[at0002'Global exclusion of problems/diagnoses']/value,EHDSPatientSummary.problems.emptyReason,
openEHR-EHR-EVALUATION.absence.v2,Absence of information,,Statement that specified health information is not available for inclusion in the health record or extract at the time of recording.,,,0..1,Evaluation,,,,,/items[openEHR-EHR-EVALUATION.absence.v2],,
,Absence statement,,Positive statement that no information is available.,For example: No information available about adverse reactions; No information available about problems or diagnoses; No information available about previous procedures performed; or No information available about medications used.,,1..1,Text,,,,,/items[openEHR-EHR-EVALUATION.absence.v2]/data[at0001]/items[at0002]/value,,
,Reason for absence,emptyReason,Description of the reason why there is no information available.,For example: patient is unconscious or refuses to provide information. Coding the reason with a terminology is desirable if possible.,Use if no conditions are listed,0..*,Text,,0..1,,,/items[openEHR-EHR-EVALUATION.absence.v2]/data[at0001]/items[at0005]/value,EHDSPatientSummary.problems.emptyReason,
openEHR-EHR-EVALUATION.problem_diagnosis.v1,Problem/Diagnosis,EHDSCondition,Details about a single identified health condition injury disability or any other issue which impacts on the physical mental and/or social well-being of an individual.,Clear delineation between the scope of a problem versus a diagnosis is not easy to achieve in practice. For the purposes of clinical documentation with this archetype problem and diagnosis are regarded as a continuum with increasing levels of detail and supportive evidence usually providing weight towards the label of 'diagnosis'.,Model for a clinical condition problem diagnosis or other event situation or issue that has risen to a level of concern.,0..*,Evaluation,,0..*,,,/items[openEHR-EHR-EVALUATION.problem_diagnosis.v1],EHDSCondition,
,Problem/Diagnosis name,problem,Identification of the problem or diagnosis by name.,Coding of the name of the problem or diagnosis with a terminology is preferred where possible.,Code identifying the condition problem or diagnosis,1..1,Text,,1..1,ICD-10 SNOMED CT ICD-O Orphacode if rare disease is diagnosed,,/items[openEHR-EHR-EVALUATION.problem_diagnosis.v1]/data[at0001]/items[at0002]/value,EHDSCondition.problem,
openEHR-EHR-CLUSTER.anatomical_location.v1,Anatomical location,EHDSBodyStructure,A physical site on or within the human body.,,EHDS refined base model for Body structure,0..*,Cluster,,0..*,,,/items[openEHR-EHR-EVALUATION.problem_diagnosis.v1]/data[at0001]/items[openEHR-EHR-CLUSTER.anatomical_location.v1],EHDSBodyStructure,
,Body site name,location,Identification of a single physical site either on or within the human body.,"This data element is the only mandated data point in this archetype and should be used as the primary data point to record an anatomical location with a commonly used name. It is strongly recommended that 'Body site name' be recorded as specifically as is anatomically possible. For example: record 'upper eyelid' rather than recording 'eyelid' with 'upper' as a qualifier; 'fifth rib' rather than 'rib' with a numeric qualifier. Use the other data elements for laterality aspect region and anatomical line to provide more detail.

This data element should be coded with a terminology capable of triggering decision support where possible - an appropriate termset for use here could comprise individual concepts or a list of precoordinated terms. Free text should be used only if there is no appropriate terminology available.

If 'Body site name' is already identified in an archetype in which this Anatomical location archetype has been nested then this data element may be redundant. However it might be reasonable to duplicate 'Body site name' in this archetype to support semantic querying using this archetype instead of the archetype in which it has been nested.",Body site,1..1,Text,,0..1,SNOMED CT,,/items[openEHR-EHR-EVALUATION.problem_diagnosis.v1]/data[at0001]/items[openEHR-EHR-CLUSTER.anatomical_location.v1]/items[at0001]/value,EHDSBodyStructure.location,
,Specific site,locationQualifier,Additional detail using a specific region or a point on or within the identified body site.,"Use to increase precision of identification of the body site if required. For example the upper right quadrant or McBurney's point on the abdominal wall or interphalangeal joint of the great toe. If the 'Body site name' data element uses pre-coordinated terms that include the specific site then this data element is redundant.
In most situations this will be a single specific site. This data element has multiple occurrences to support less common use cases which need to identify a single anatomical location involving two or more adjacent and continuous specific sites. For example to describe the specific site of a single tumour extending across the 2nd 3rd and 4th ribs.",Additional qualifier of the body structure (e.g. upper lower left side).,0..*,Text,,0..*,SNOMED CT,,/items[openEHR-EHR-EVALUATION.problem_diagnosis.v1]/data[at0001]/items[openEHR-EHR-CLUSTER.anatomical_location.v1]/items[at0065]/value,EHDSBodyStructure.locationQualifier,
,Laterality,laterality,The side of the body on which the identified body site is located.,If the 'Body site name' includes a pre-coordinated term that already specifies laterality this data element may be redundant. If the findings require documentation of a body site on both the left and right sides of the body or involving both sides of a paired structure or region use 'Left and right' only when the same anatomical site is affected on both sides and side-specific detail is not required. If the findings differ significantly between sides each should be recorded as a separate instance of this archetype with the appropriate laterality.,Body structure laterality (e.g. left right).,0..1,CodedText," Left local:at0003
 Right local:at0004
 Left and right local:at0083",0..1,SNOMED CT,,/items[openEHR-EHR-EVALUATION.problem_diagnosis.v1]/data[at0001]/items[openEHR-EHR-CLUSTER.anatomical_location.v1]/items[at0002]/value,EHDSBodyStructure.laterality,
,Description,description,Narrative description that can be used to further refine and support the 'Body site name'.,For example: adjacent to the vermilion border; a tattoo covers the bottom half of this area.,Textual description of the body structure,0..1,Text,,0..1,,,/items[openEHR-EHR-EVALUATION.problem_diagnosis.v1]/data[at0001]/items[openEHR-EHR-CLUSTER.anatomical_location.v1]/items[at0023]/value,EHDSBodyStructure.description,
,Date/time of onset,onsetDate,Estimated or actual date/time that signs or symptoms of the problem/diagnosis were first observed.,Data captured/imported as Age at onset should be converted to a date using the subject's date of birth.,Onset date of a problem/condition,0..1,DateTime,,0..1,,,/items[openEHR-EHR-EVALUATION.problem_diagnosis.v1]/data[at0001]/items[at0077]/value,EHDSCondition.onsetDate,
,Severity,severity,An assessment of the overall severity of the problem or diagnosis.,If severity is included in the Problem/diagnosis name via precoordinated codes this data element becomes redundant. Note: more specific grading of severity can be recorded using the Specific details SLOT.,A subjective assessment of the severity of the condition as evaluated by the clinician.,0..1,CodedText," Mild local:at0047
 Moderate local:at0048
 Severe local:at0049
-Other Text/CodedText allowed",0..1,HL7 Condition/Diagnosis Severity; SNOMED CT,,/items[openEHR-EHR-EVALUATION.problem_diagnosis.v1]/data[at0001]/items[at0005]/value,EHDSCondition.severity,
,Category,category,An overarching grouping for the problem or diagnosis identified in 'Problem/Diagnosis name'.,For example 'Neoplastic disease' 'Ischemic heart disease' or â€˜Anxiety disorderâ€™. Coding with an external terminology is preferred where possible.,Category or categories of the problem (e.g. POA - present on admission HAC - hospital aquired condition and other categorisations).,0..1,Text,,0..*,,,/items[openEHR-EHR-EVALUATION.problem_diagnosis.v1]/data[at0001]/items[at0081]/value,EHDSCondition.category,The descriptions do not match exactly but are vague enough on both sides. Argument for making a Change Request to add a new ‘Diagnostic tag’ data element to the Problem/Diagnosis qualifier CLUSTER archetype?
openEHR-EHR-CLUSTER.clinical_evidence.v1,Clinical evidence,,Details about findings that support a clinical assertion.,,,0..*,Cluster,,0..*,,,/items[openEHR-EHR-EVALUATION.problem_diagnosis.v1]/data[at0001]/items[openEHR-EHR-CLUSTER.clinical_evidence.v1],,
,Result,stage,The result or finding that supports the assertion.,"For example: '11 mm', '13 µg/L', '2.5 ml' or 'BRCA1 positive'. 'Result' can be coded with a terminology, where appropriate.",Stage/grade usually assessed formally using a specific staging/grading system. Multiple assessment systems could be used.,0..*,,,0..*,"e.g. TNM, ICD-O-3, Bi-Rads, Li-Rads, …",,/items[openEHR-EHR-EVALUATION.problem_diagnosis.v1]/data[at0001]/items[openEHR-EHR-CLUSTER.clinical_evidence.v1]/items[at0005],EHDSCondition.stage,"We chose to align with the same pattern as the IPS template. However, the mapping between ‘Clinical evidence’ in openEHR (which can have e.g. a pathological stageing of a tumor, but also a reference to a blood pressure measurement) to stage has important limitations, depending on the use case"
,Date/time of resolution,endDate,Estimated or actual date/time of resolution or remission for this problem or diagnosis as determined by a healthcare professional.,"Partial dates are acceptable. If the subject of care is under the age of one year then the complete date or a minimum of the month and year is necessary to enable accurate age calculations - for example if used to drive decision support. Data captured/imported as Age at time of resolution should be converted to a date using the subject's date of birth.
",The date or estimated date that the condition resolved or went into remission,0..1,DateTime,,0..1,,,/items[openEHR-EHR-EVALUATION.problem_diagnosis.v1]/data[at0001]/items[at0030]/value,EHDSCondition.endDate,
openEHR-EHR-CLUSTER.problem_qualifier.v2,Problem/Diagnosis qualifier,problemDiagnosisQualifier,Contextual or temporal qualifier for a specified problem or diagnosis.,,,0..1,Cluster,,,,,/items[openEHR-EHR-EVALUATION.problem_diagnosis.v1]/data[at0001]/items[openEHR-EHR-CLUSTER.problem_qualifier.v2],,
,Active/Inactive?,problemStatus,Category that supports division of problems and diagnoses into Active or Inactive problem lists.,The Active/Inactive and Current/Past data elements have similar clinical impact but represent slightly different semantics. Both are actively used in different clinical settings but usually not together. If a Current/Past qualifier is recorded then this data element is likely to be redundant. An exception where a condition can be current but inactive is asthma that is not causing acute symptoms.,Status of the condition/problem (active resolved inactive ...),0..1,CodedText," Active local:at0026
 Inactive local:at0027",0..1,HL7 Condition Clinical Status Codes,,/items[openEHR-EHR-EVALUATION.problem_diagnosis.v1]/data[at0001]/items[openEHR-EHR-CLUSTER.problem_qualifier.v2]/items[at0003]/value,EHDSCondition.problemStatus,"In version 0.3.0 of the EHDS LM, ‘problemStatus’ has been dropped"
,Resolution phase,problemStatus,Phase of healing for an acute problem or diagnosis.,For example: tracking the progress of resolution of a middle ear infection.,Status of the condition/problem (active resolved inactive ...),0..1,CodedText," Resolved local:at0084
 Relapsed local:at0097",0..1,HL7 Condition Clinical Status Codes,,/items[openEHR-EHR-EVALUATION.problem_diagnosis.v1]/data[at0001]/items[openEHR-EHR-CLUSTER.problem_qualifier.v2]/items[at0083]/value,EHDSCondition.problemStatus,"In version 0.3.0 of the EHDS LM, ‘problemStatus’ has been dropped"
,Remission status,problemStatus,Status of the remission of an incurable diagnosis.,For example: the status of a cancer or haematological diagnosis.,Status of the condition/problem (active resolved inactive ...),0..1,CodedText, In remission local:at0090,0..1,HL7 Condition Clinical Status Codes,,/items[openEHR-EHR-EVALUATION.problem_diagnosis.v1]/data[at0001]/items[openEHR-EHR-CLUSTER.problem_qualifier.v2]/items[at0089]/value,EHDSCondition.problemStatus,"In version 0.3.0 of the EHDS LM, ‘problemStatus’ has been dropped"
