"Node ID","openEHR Name","EHDS Name","openEHR Description","openEHR Comment","EHDS Definition","openEHR Cardinality","openEHR Datatype","openEHR Values","EHDS Cardinality","EHDS Binding","Concept Map","openEHR Path","EHDS Path","MappingNotes"
"openEHR-EHR-SECTION.adhoc.v1","EHDS Procedures","EHDSProcedures","A generic section header which should be renamed in a template to suit a specific clinical context.","","Significant procedures performed on the patient.","1..1","Section","","1..1","","","/","EHDSPatientSummary.procedures",""
"openEHR-EHR-EVALUATION.exclusion_global.v1","Exclusion - global","ExclusionGlobal","An overall statement of exclusion about all Problems/diagnoses Family history Medications Procedures Adverse reactions or other clinical items that are either not currently present or have not been present in the past.","","","0..1","Evaluation","","","","","/items[openEHR-EHR-EVALUATION.exclusion_global.v1]","",""
"","Global exclusion of procedures","emptyReason","Overall statement of exclusion about all procedures at the time of recording.","For example: 'No previous diagnoses' 'No known family history' 'No known history of adverse reactions' 'Never taken any medications' or 'No known operations or significant procedures'.","Reason for absence of data","1..1","Text","","0..1","","","/items[openEHR-EHR-EVALUATION.exclusion_global.v1]/data[at0001]/items[at0002'Global exclusion of procedures']/value","EHDSPatientSummary.procedures.emptyReason",""
"openEHR-EHR-EVALUATION.absence.v2","Absence of information","AbsenceOfInformation","Statement that specified health information is not available for inclusion in the health record or extract at the time of recording.","","","0..1","Evaluation","","","","","/items[openEHR-EHR-EVALUATION.absence.v2]","",""
"","Absence statement","absenceStatement","Positive statement that no information is available.","For example: No information available about adverse reactions; No information available about problems or diagnoses; No information available about previous procedures performed; or No information available about medications used.","","1..1","Text","","","","","/items[openEHR-EHR-EVALUATION.absence.v2]/data[at0001]/items[at0002]/value","",""
"","Reason for absence","emptyReason","Description of the reason why there is no information available.","For example: patient is unconscious or refuses to provide information. Coding the reason with a terminology is desirable if possible.","Reason for absence of data","0..*","Text","","0..1","","","/items[openEHR-EHR-EVALUATION.absence.v2]/data[at0001]/items[at0005]/value","EHDSPatientSummary.procedures.emptyReason",""
"openEHR-EHR-ACTION.procedure.v1","Procedure","EHDSProcedure","A clinical activity carried out for screening investigative diagnostic curative therapeutic evaluative or palliative purposes.","","EHDS refined base model for an action that is or was performed on or for a patient","0..*","Action","","0..*","","","/items[openEHR-EHR-ACTION.procedure.v1]","EHDSProcedure",""
"","current_state","currentState","","","","1..1","CodedText"," completed local:532","","","","/items[openEHR-EHR-ACTION.procedure.v1]/ism_transition/current_state","",""
"","transition","transition","","","","0..1","CodedText","local","","","","/items[openEHR-EHR-ACTION.procedure.v1]/ism_transition/transition","",""
"","careflow_step","careflowStep","`ISM_TRANSITION.care_flow_step` - The step in the careflow process which occurred as part of generating this action e.g. dispense  start_administration. This attribute represents the clinical label for the activity as opposed to current_state which represents the state machine (ISM) computable form. Defined in archetype.","","","0..1","CodedText"," Procedure completed local:at0043","","","","/items[openEHR-EHR-ACTION.procedure.v1]/ism_transition/careflow_step","",""
