Node ID,openEHR Name,EPS Name,openEHR Description,openEHR Comment,EPS Definition,openEHR Cardinality,openEHR Datatype,openEHR Values,EPS Cardinality,EPS Binding,Concept Map,openEHR Path,EPS Path,MappingNotes
openEHR-EHR-SECTION.adhoc.v1,EPS Medical Devices,EPSMedicalDevices,A generic section header which should be renamed in a template to suit a specific clinical context.,,The medical devices section contains narrative text and coded entries describing the patient history of medical device use.,1..1,Section,,1..1,,,/,Composition.section:sectionMedicalDevices,
openEHR-EHR-EVALUATION.absence.v2,Absence of information,,Statement that specified health information is not available for inclusion in the health record or extract at the time of recording.,,,0..1,Evaluation,,,,,/items[openEHR-EHR-EVALUATION.absence.v2],,
,Absence statement,,Positive statement that no information is available.,For example: No information available about adverse reactions; No information available about problems or diagnoses; No information available about previous procedures performed; or No information available about medications used.,,1..1,Text,,,,,/items[openEHR-EHR-EVALUATION.absence.v2]/data[at0001]/items[at0002]/value,,
,Reason for absence,sectionMedicalDevices.emptyReason,Description of the reason why there is no information available.,For example: patient is unconscious or refuses to provide information. Coding the reason with a terminology is desirable if possible.,If the section is empty why the list is empty. An empty section typically has some text explaining the empty reason.,0..*,Text,,0..1,,,/items[openEHR-EHR-EVALUATION.absence.v2]/data[at0001]/items[at0005]/value,Composition.section:sectionMedicalDevices.emptyReason,
openEHR-EHR-EVALUATION.container.v0,Container,,Generic archetype to contain existing CLUSTER archetypes which need to be represented as standalone data.,,,0..1,Evaluation,,,,,/items[openEHR-EHR-EVALUATION.container.v0],,
,FHIR Narrative,,This cluster is intended to support the recording of FHIR narrative ingested that does not have a more natural target within existing archetypes. ,,,0..1,Cluster,,,,,/items[openEHR-EHR-EVALUATION.container.v0]/data[at0001]/items[openEHR-EHR-CLUSTER.fhir_narrative.v0],,
,Narrative,sectionMedicalDevices.text,The narrative carried in the div element in FHIR,,A human-readable narrative that contains the attested content of the section used to represent the content of the resource to a human. The narrative need not encode all the structured data but is required to contain sufficient detail to make it clinically safe for a human to just read the narrative.,0..1,Parsable text,,1..1,,,/items[openEHR-EHR-EVALUATION.container.v0]/data[at0001]/items[openEHR-EHR-CLUSTER.fhir_narrative.v0]/items[at0002]/value,Composition.section:sectionMedicalDevices.text,
,Status,,"The status of the narrative - whether it's entirely generated (from just the defined data or the extensions too) or whether a human authored it and it may contain additional data.

",FHIR Codesystem: generated | extensions | additional | empty,,0..1,Text,,,,,/items[openEHR-EHR-EVALUATION.container.v0]/data[at0001]/items[openEHR-EHR-CLUSTER.fhir_narrative.v0]/items[at0001]/value,,
openEHR-EHR-EVALUATION.device_summary.v0,Medical device summary,DeviceUseStatement,An ongoing and persistent overview about medical devices that have been fitted or implanted.,,A record of a device being used by a patient where the record is the result of a report from the patient or another clinician.,0..*,Evaluation,,0..*,,,/items[openEHR-EHR-EVALUATION.device_summary.v0],DeviceUseStatement,
,Status,status,Assertion about the fitting or implanting of devices as at the date 'Last updated'.,,A code representing the patient or other source's judgment about the state of the device used that this statement is about. Generally this will be active or completed.,1..1,CodedText," Never local:at0003
 Current local:at0004
 Previous local:at0005",1..1,The codes SHALL be taken from DeviceUseStatementStatus (required to http://hl7.org/fhir/ValueSet/device-statement-status|4.0.1) A coded concept indicating the current status of the Device Usage.,,/items[openEHR-EHR-EVALUATION.device_summary.v0]/data[at0001]/items[at0002]/value,DeviceUseStatement.status,The openEHR valueset is not aligned with FHIR. It can't be changed in the template as it is a coded text data element.
,Device details,,Details about each device.,,,0..*,Cluster,,,,,/items[openEHR-EHR-EVALUATION.device_summary.v0]/data[at0001]/items[at0022],,
,Start date,timing[x]:timingPeriod.start,Date of fitting or implant of the device.,,The start of the period. The boundary is inclusive.,0..1,DateTime,,0..1,,,/items[openEHR-EHR-EVALUATION.device_summary.v0]/data[at0001]/items[at0022]/items[at0008]/value,DeviceUseStatement.timing[x]:timingPeriod.start,"In FHIR timing is a choice of Timing, Period and dateTime datatypes"
,Body site,bodySite,Identification of the body site where the device is fitted/implanted.,,Indicates the anotomic location on the subject's body where the device was used ( i.e. the target).,0..1,Text,,0..1,The codes SHOULD be taken from SNOMEDCTBodyStructures (preferred to http://hl7.org/fhir/ValueSet/body-site),,/items[openEHR-EHR-EVALUATION.device_summary.v0]/data[at0001]/items[at0022]/items[at0012]/value,DeviceUseStatement.bodySite,
,Medical device,Device,An instrument apparatus implant material or similar used in the provision of healthcare. In this context a medical device includes a broad range of devices which act through a variety of physical mechanical thermal or similar means but specifically excludes devices which act through medicinal means such as pharmacological metabolic or immunological methods.  The scope is inclusive of disposable devices as well as durable or persisting devices that require tracking maintenance activities or regular calibration recognising that each type of device has specific data recording requirements.,,A type of a manufactured item that is used in the provision of healthcare without being substantially changed through that activity. The device may be a medical or non-medical device.,1..1,Cluster,,0..*,,,/items[openEHR-EHR-EVALUATION.device_summary.v0]/data[at0001]/items[at0022]/items[openEHR-EHR-CLUSTER.device.v1],Device,
,Device name,deviceName.name,Identification of the medical device preferably by a common name a formal fully descriptive name or if required by class or category of device.,"This data element will capture the term phrase or category used in clinical practice. For example: <brand name><machine> (XYZ Audiometer); <size> <brand name> <intravenous catheter> (14G Jelco IV catheter); or <brand name/type> <implant>. Coding with a terminology is desirable where possible although this may be local and depending on local supplies available.
",The name of the device.,1..1,Text,,1..1,,,/items[openEHR-EHR-EVALUATION.device_summary.v0]/data[at0001]/items[at0022]/items[openEHR-EHR-CLUSTER.device.v1]/items[at0001]/value,Device.deviceName.name,
,Type,type,The category or kind of device.,"Not applicable if a category is already recorded in 'Device name'.
 Example: if the 'Device' is named as a 'urinary catheter'; the 'Type' may be recorded as 'indwelling' or 'condom'.Coding with a terminology is desirable where possible. This may include use of GTIN or EAN numbers.",The kind or type of device.,0..1,Text,,0..1,The codes SHOULD be taken from Medical Devices - IPS (preferred to http://hl7.org/fhir/uv/ips/ValueSet/medical-devices-uv-ips),,/items[openEHR-EHR-EVALUATION.device_summary.v0]/data[at0001]/items[at0022]/items[openEHR-EHR-CLUSTER.device.v1]/items[at0003]/value,Device.type,
,Unique device identifier (UDI),udiCarrier.deviceIdentifier,A numeric or alphanumeric string that is associated with this device within a given system.,Often fixed to the device as a barcode.,The device identifier (DI) is a mandatory fixed portion of a UDI that identifies the labeler and the specific version or model of a device.,0..1,Identifier,,0..1,,,/items[openEHR-EHR-EVALUATION.device_summary.v0]/data[at0001]/items[at0022]/items[openEHR-EHR-CLUSTER.device.v1]/items[at0021]/value,Device.udiCarrier.deviceIdentifier,
,Manufacturer,manufacturer,Name of manufacturer.,,A name of the manufacturer.,0..1,Text,,0..1,,,/items[openEHR-EHR-EVALUATION.device_summary.v0]/data[at0001]/items[at0022]/items[openEHR-EHR-CLUSTER.device.v1]/items[at0004]/value,Device.manufacturer,
,Date of manufacture,manufactureDate,Date the device was manufactured.,,The date and time when the device was manufactured.,0..1,DateTime,,0..1,,,/items[openEHR-EHR-EVALUATION.device_summary.v0]/data[at0001]/items[at0022]/items[openEHR-EHR-CLUSTER.device.v1]/items[at0005]/value,Device.manufactureDate,
,Serial number,serialNumber,Number assigned by the manufacturer which can be found on the device and should be specific to each device. its label or accompanying packaging.,,The serial number assigned by the organization when the device was manufactured.,0..1,Text,,0..1,,,/items[openEHR-EHR-EVALUATION.device_summary.v0]/data[at0001]/items[at0022]/items[openEHR-EHR-CLUSTER.device.v1]/items[at0020]/value,Device.serialNumber,
,Model number,modelNumber,The exact model number assigned by the manufacturer and found on the device label or accompanying packaging.,,The model number for the device.,0..1,Text,,0..1,,,/items[openEHR-EHR-EVALUATION.device_summary.v0]/data[at0001]/items[at0022]/items[openEHR-EHR-CLUSTER.device.v1]/items[at0023]/value,Device.modelNumber,
